"adm2_name","adm2_pcode","scenario","start","end","phase_majority","phase_mean"
"Baki","SO1102","ML1",2021-12-01,2022-01-31,2,2
"Borama","SO1101","ML1",2021-12-01,2022-01-31,2,2
"Lughaye","SO1103","ML1",2021-12-01,2022-01-31,2,2
"Zeylac","SO1104","ML1",2021-12-01,2022-01-31,2,2.00087928771973
"Ceel Barde","SO2502","ML1",2021-12-01,2022-01-31,2,2
"Rab Dhuure","SO2505","ML1",2021-12-01,2022-01-31,2,2.0003137588501
"Tayeeglow","SO2503","ML1",2021-12-01,2022-01-31,2,2.4920597076416
"Waajid","SO2504","ML1",2021-12-01,2022-01-31,3,2.50946235656738
"Xudur","SO2501","ML1",2021-12-01,2022-01-31,2,2.1719753742218
"Bondhere","SO2201","ML1",2021-12-01,2022-01-31,2,2
"Cabdulasis","SO2202","ML1",2021-12-01,2022-01-31,2,2
"Daynile","SO2203","ML1",2021-12-01,2022-01-31,2,2
"Dharkenley","SO2204","ML1",2021-12-01,2022-01-31,2,2
"Hamar Jabjab","SO2205","ML1",2021-12-01,2022-01-31,2,2
"Hamar Weyne","SO2206","ML1",2021-12-01,2022-01-31,2,2
"Hawl Wadaag","SO2207","ML1",2021-12-01,2022-01-31,2,2
"Heliwa","SO2208","ML1",2021-12-01,2022-01-31,2,2
"Hodan","SO2209","ML1",2021-12-01,2022-01-31,2,2
"Kahda","SO2210","ML1",2021-12-01,2022-01-31,2,2
"Karaan","SO2211","ML1",2021-12-01,2022-01-31,2,2
"Shangaani","SO2212","ML1",2021-12-01,2022-01-31,2,2
"Shibis","SO2213","ML1",2021-12-01,2022-01-31,2,2
"Unspecified","Unspecified","ML1",2021-12-01,2022-01-31,2,2
"Waaberi","SO2214","ML1",2021-12-01,2022-01-31,2,2
"Wadajir (Medina)","SO2215","ML1",2021-12-01,2022-01-31,2,2
"Wardhigley","SO2216","ML1",2021-12-01,2022-01-31,2,2
"Yaaqshid","SO2217","ML1",2021-12-01,2022-01-31,2,2
"Bandarbeyla","SO1602","ML1",2021-12-01,2022-01-31,2,2.17195582389832
"Bossaso","SO1601","ML1",2021-12-01,2022-01-31,2,2.00049591064453
"Caluula","SO1603","ML1",2021-12-01,2022-01-31,2,2
"Iskushuban","SO1604","ML1",2021-12-01,2022-01-31,2,2.06724572181702
"Qandala","SO1605","ML1",2021-12-01,2022-01-31,2,2
"Qardho","SO1606","ML1",2021-12-01,2022-01-31,2,2.0000696182251
"Baydhaba","SO2401","ML1",2021-12-01,2022-01-31,3,3
"Buur Hakaba","SO2402","ML1",2021-12-01,2022-01-31,3,2.88457989692688
"Diinsoor","SO2403","ML1",2021-12-01,2022-01-31,3,2.99988007545471
"Qansax Dheere","SO2404","ML1",2021-12-01,2022-01-31,3,3
"Cabudwaaq","SO1902","ML1",2021-12-01,2022-01-31,3,3
"Cadaado","SO1903","ML1",2021-12-01,2022-01-31,3,2.99555683135986
"Ceel Buur","SO1904","ML1",2021-12-01,2022-01-31,3,2.88682246208191
"Ceel Dheer","SO1905","ML1",2021-12-01,2022-01-31,3,2.99958109855652
"Dhuusamarreeb","SO1901","ML1",2021-12-01,2022-01-31,3,2.99776983261108
"Baardheere","SO2602","ML1",2021-12-01,2022-01-31,2,2.31993651390076
"Belet Xaawo","SO2603","ML1",2021-12-01,2022-01-31,2,2.06855249404907
"Ceel Waaq","SO2604","ML1",2021-12-01,2022-01-31,2,2.05318164825439
"Doolow","SO2605","ML1",2021-12-01,2022-01-31,3,2.84265518188477
"Garbahaarey","SO2601","ML1",2021-12-01,2022-01-31,2,2.4677746295929
"Luuq","SO2606","ML1",2021-12-01,2022-01-31,3,2.62088227272034
"Belet Weyne","SO2001","ML1",2021-12-01,2022-01-31,3,2.54771327972412
"Bulo Burto","SO2002","ML1",2021-12-01,2022-01-31,2,2.30094742774963
"Jalalaqsi","SO2003","ML1",2021-12-01,2022-01-31,2,2.48495006561279
"Afmadow","SO2802","ML1",2021-12-01,2022-01-31,4,3.10573267936707
"Badhaadhe","SO2803","ML1",2021-12-01,2022-01-31,4,3.49197888374329
"Jamaame","SO2804","ML1",2021-12-01,2022-01-31,3,3.00053286552429
"Kismaayo","SO2801","ML1",2021-12-01,2022-01-31,4,3.03161835670471
"Afgooye","SO2302","ML1",2021-12-01,2022-01-31,2,2.00324153900146
"Baraawe","SO2303","ML1",2021-12-01,2022-01-31,2,2.00055932998657
"Kurtunwaarey","SO2304","ML1",2021-12-01,2022-01-31,2,2
"Marka","SO2301","ML1",2021-12-01,2022-01-31,2,2
"Qoryooley","SO2305","ML1",2021-12-01,2022-01-31,2,2.00147604942322
"Sablaale","SO2306","ML1",2021-12-01,2022-01-31,2,2.003582239151
"Wanla Weyn","SO2307","ML1",2021-12-01,2022-01-31,2,2.03702878952026
"Bu'aale","SO2701","ML1",2021-12-01,2022-01-31,3,3.48524260520935
"Jilib","SO2702","ML1",2021-12-01,2022-01-31,3,3.24769139289856
"Saakow","SO2703","ML1",2021-12-01,2022-01-31,2,2.40474104881287
"Adan Yabaal","SO2102","ML1",2021-12-01,2022-01-31,2,2.02067804336548
"Balcad","SO2103","ML1",2021-12-01,2022-01-31,3,2.56722497940063
"Cadale","SO2104","ML1",2021-12-01,2022-01-31,2,2
"Jowhar","SO2101","ML1",2021-12-01,2022-01-31,3,2.68959021568298
"Gaalkacyo","SO1801","ML1",2021-12-01,2022-01-31,2,2.00165176391602
"Galdogob","SO1802","ML1",2021-12-01,2022-01-31,2,2
"Hobyo","SO1803","ML1",2021-12-01,2022-01-31,3,2.99858999252319
"Jariiban","SO1804","ML1",2021-12-01,2022-01-31,2,2.1763916015625
"Xarardheere","SO1805","ML1",2021-12-01,2022-01-31,3,3
"Burtinle","SO1702","ML1",2021-12-01,2022-01-31,2,2
"Eyl","SO1703","ML1",2021-12-01,2022-01-31,2,2.26084446907043
"Garoowe","SO1701","ML1",2021-12-01,2022-01-31,2,2
"Ceel Afweyn","SO1502","ML1",2021-12-01,2022-01-31,2,2.39603185653687
"Ceerigaabo","SO1501","ML1",2021-12-01,2022-01-31,2,2.3096969127655
"Laasqoray","SO1503","ML1",2021-12-01,2022-01-31,2,2.48767018318176
"Caynabo","SO1402","ML1",2021-12-01,2022-01-31,2,2
"Laas Caanood","SO1401","ML1",2021-12-01,2022-01-31,2,2
"Taleex","SO1403","ML1",2021-12-01,2022-01-31,2,2
"Xudun","SO1404","ML1",2021-12-01,2022-01-31,2,2
"Burco","SO1301","ML1",2021-12-01,2022-01-31,2,2.14297556877136
"Buuhoodle","SO1302","ML1",2021-12-01,2022-01-31,2,2
"Owdweyne","SO1303","ML1",2021-12-01,2022-01-31,2,2.17976260185242
"Sheikh","SO1304","ML1",2021-12-01,2022-01-31,2,2.08230090141296
"Berbera","SO1202","ML1",2021-12-01,2022-01-31,2,2
"Gebiley","SO1203","ML1",2021-12-01,2022-01-31,2,2
"Hargeysa","SO1201","ML1",2021-12-01,2022-01-31,2,2
"Baki","SO1102","ML2",2022-02-01,2022-05-31,2,2.31946325302124
"Borama","SO1101","ML2",2022-02-01,2022-05-31,3,2.53741121292114
"Lughaye","SO1103","ML2",2022-02-01,2022-05-31,3,2.98365211486816
"Zeylac","SO1104","ML2",2022-02-01,2022-05-31,3,2.8069314956665
"Ceel Barde","SO2502","ML2",2022-02-01,2022-05-31,2,2
"Rab Dhuure","SO2505","ML2",2022-02-01,2022-05-31,2,2.00187659263611
"Tayeeglow","SO2503","ML2",2022-02-01,2022-05-31,2,2.98398399353027
"Waajid","SO2504","ML2",2022-02-01,2022-05-31,4,3.50353193283081
"Xudur","SO2501","ML2",2022-02-01,2022-05-31,2,2.34406805038452
"Bondhere","SO2201","ML2",2022-02-01,2022-05-31,2,2
"Cabdulasis","SO2202","ML2",2022-02-01,2022-05-31,2,2
"Daynile","SO2203","ML2",2022-02-01,2022-05-31,2,2
"Dharkenley","SO2204","ML2",2022-02-01,2022-05-31,2,2.20857286453247
"Hamar Jabjab","SO2205","ML2",2022-02-01,2022-05-31,2,2
"Hamar Weyne","SO2206","ML2",2022-02-01,2022-05-31,2,2
"Hawl Wadaag","SO2207","ML2",2022-02-01,2022-05-31,2,2
"Heliwa","SO2208","ML2",2022-02-01,2022-05-31,2,2
"Hodan","SO2209","ML2",2022-02-01,2022-05-31,2,2
"Kahda","SO2210","ML2",2022-02-01,2022-05-31,2,2
"Karaan","SO2211","ML2",2022-02-01,2022-05-31,2,2
"Shangaani","SO2212","ML2",2022-02-01,2022-05-31,2,2
"Shibis","SO2213","ML2",2022-02-01,2022-05-31,2,2
"Unspecified","Unspecified","ML2",2022-02-01,2022-05-31,2,2.04404211044312
"Waaberi","SO2214","ML2",2022-02-01,2022-05-31,2,2
"Wadajir (Medina)","SO2215","ML2",2022-02-01,2022-05-31,2,2
"Wardhigley","SO2216","ML2",2022-02-01,2022-05-31,2,2
"Yaaqshid","SO2217","ML2",2022-02-01,2022-05-31,2,2
"Bandarbeyla","SO1602","ML2",2022-02-01,2022-05-31,3,3.17013430595398
"Bossaso","SO1601","ML2",2022-02-01,2022-05-31,2,2.00279903411865
"Caluula","SO1603","ML2",2022-02-01,2022-05-31,2,2
"Iskushuban","SO1604","ML2",2022-02-01,2022-05-31,2,2.13589286804199
"Qandala","SO1605","ML2",2022-02-01,2022-05-31,2,2.09031677246094
"Qardho","SO1606","ML2",2022-02-01,2022-05-31,3,2.99824500083923
"Baydhaba","SO2401","ML2",2022-02-01,2022-05-31,4,3.55843114852905
"Buur Hakaba","SO2402","ML2",2022-02-01,2022-05-31,4,3.42268443107605
"Diinsoor","SO2403","ML2",2022-02-01,2022-05-31,3,3.39343523979187
"Qansax Dheere","SO2404","ML2",2022-02-01,2022-05-31,3,3.00130724906921
"Cabudwaaq","SO1902","ML2",2022-02-01,2022-05-31,3,3
"Cadaado","SO1903","ML2",2022-02-01,2022-05-31,3,3
"Ceel Buur","SO1904","ML2",2022-02-01,2022-05-31,3,2.88682246208191
"Ceel Dheer","SO1905","ML2",2022-02-01,2022-05-31,3,3.38879632949829
"Dhuusamarreeb","SO1901","ML2",2022-02-01,2022-05-31,3,2.99776983261108
"Baardheere","SO2602","ML2",2022-02-01,2022-05-31,3,2.99730896949768
"Belet Xaawo","SO2603","ML2",2022-02-01,2022-05-31,3,3
"Ceel Waaq","SO2604","ML2",2022-02-01,2022-05-31,3,2.99999976158142
"Doolow","SO2605","ML2",2022-02-01,2022-05-31,3,3
"Garbahaarey","SO2601","ML2",2022-02-01,2022-05-31,3,3
"Luuq","SO2606","ML2",2022-02-01,2022-05-31,3,2.99856400489807
"Belet Weyne","SO2001","ML2",2022-02-01,2022-05-31,3,2.54771327972412
"Bulo Burto","SO2002","ML2",2022-02-01,2022-05-31,2,2.30138111114502
"Jalalaqsi","SO2003","ML2",2022-02-01,2022-05-31,2,2.48495006561279
"Afmadow","SO2802","ML2",2022-02-01,2022-05-31,3,2.24974846839905
"Badhaadhe","SO2803","ML2",2022-02-01,2022-05-31,3,2.6926896572113
"Jamaame","SO2804","ML2",2022-02-01,2022-05-31,3,3
"Kismaayo","SO2801","ML2",2022-02-01,2022-05-31,3,2.66329574584961
"Afgooye","SO2302","ML2",2022-02-01,2022-05-31,2,2.01748204231262
"Baraawe","SO2303","ML2",2022-02-01,2022-05-31,2,2.00055932998657
"Kurtunwaarey","SO2304","ML2",2022-02-01,2022-05-31,2,2
"Marka","SO2301","ML2",2022-02-01,2022-05-31,2,2.00236201286316
"Qoryooley","SO2305","ML2",2022-02-01,2022-05-31,2,2.24023199081421
"Sablaale","SO2306","ML2",2022-02-01,2022-05-31,2,2.00598883628845
"Wanla Weyn","SO2307","ML2",2022-02-01,2022-05-31,2,2.03824687004089
"Bu'aale","SO2701","ML2",2022-02-01,2022-05-31,3,2.99550437927246
"Jilib","SO2702","ML2",2022-02-01,2022-05-31,3,2.95570921897888
"Saakow","SO2703","ML2",2022-02-01,2022-05-31,1,1.81535470485687
"Adan Yabaal","SO2102","ML2",2022-02-01,2022-05-31,2,2.23193454742432
"Balcad","SO2103","ML2",2022-02-01,2022-05-31,3,2.69026184082031
"Cadale","SO2104","ML2",2022-02-01,2022-05-31,2,2.27723383903503
"Jowhar","SO2101","ML2",2022-02-01,2022-05-31,3,2.68959021568298
"Gaalkacyo","SO1801","ML2",2022-02-01,2022-05-31,3,3.00000023841858
"Galdogob","SO1802","ML2",2022-02-01,2022-05-31,3,3
"Hobyo","SO1803","ML2",2022-02-01,2022-05-31,3,3.13130116462708
"Jariiban","SO1804","ML2",2022-02-01,2022-05-31,3,3.0005567073822
"Xarardheere","SO1805","ML2",2022-02-01,2022-05-31,4,3.59001708030701
"Burtinle","SO1702","ML2",2022-02-01,2022-05-31,3,2.99999976158142
"Eyl","SO1703","ML2",2022-02-01,2022-05-31,3,3.26073217391968
"Garoowe","SO1701","ML2",2022-02-01,2022-05-31,3,2.99999976158142
"Ceel Afweyn","SO1502","ML2",2022-02-01,2022-05-31,3,2.80610227584839
"Ceerigaabo","SO1501","ML2",2022-02-01,2022-05-31,3,3
"Laasqoray","SO1503","ML2",2022-02-01,2022-05-31,3,2.99834084510803
"Caynabo","SO1402","ML2",2022-02-01,2022-05-31,3,2.97421312332153
"Laas Caanood","SO1401","ML2",2022-02-01,2022-05-31,3,3
"Taleex","SO1403","ML2",2022-02-01,2022-05-31,3,3
"Xudun","SO1404","ML2",2022-02-01,2022-05-31,3,3
"Burco","SO1301","ML2",2022-02-01,2022-05-31,3,2.82669448852539
"Buuhoodle","SO1302","ML2",2022-02-01,2022-05-31,3,3
"Owdweyne","SO1303","ML2",2022-02-01,2022-05-31,3,2.83867835998535
"Sheikh","SO1304","ML2",2022-02-01,2022-05-31,2,2.08230090141296
"Berbera","SO1202","ML2",2022-02-01,2022-05-31,2,2.35758757591248
"Gebiley","SO1203","ML2",2022-02-01,2022-05-31,2,2.45261311531067
"Hargeysa","SO1201","ML2",2022-02-01,2022-05-31,3,2.66084170341492
"Baki","SO1102","ML1",2022-04-01,2022-05-31,2,2.31946325302124
"Borama","SO1101","ML1",2022-04-01,2022-05-31,3,2.53741121292114
"Lughaye","SO1103","ML1",2022-04-01,2022-05-31,3,2.98365211486816
"Zeylac","SO1104","ML1",2022-04-01,2022-05-31,3,2.80605244636536
"Ceel Barde","SO2502","ML1",2022-04-01,2022-05-31,3,3.00106883049011
"Rab Dhuure","SO2505","ML1",2022-04-01,2022-05-31,4,3.84573864936829
"Tayeeglow","SO2503","ML1",2022-04-01,2022-05-31,4,3.94589877128601
"Waajid","SO2504","ML1",2022-04-01,2022-05-31,4,4
"Xudur","SO2501","ML1",2022-04-01,2022-05-31,4,3.99511909484863
"Bondhere","SO2201","ML1",2022-04-01,2022-05-31,2,2
"Cabdulasis","SO2202","ML1",2022-04-01,2022-05-31,2,2
"Daynile","SO2203","ML1",2022-04-01,2022-05-31,2,2
"Dharkenley","SO2204","ML1",2022-04-01,2022-05-31,2,2.19986438751221
"Hamar Jabjab","SO2205","ML1",2022-04-01,2022-05-31,2,2
"Hamar Weyne","SO2206","ML1",2022-04-01,2022-05-31,2,2
"Hawl Wadaag","SO2207","ML1",2022-04-01,2022-05-31,2,2
"Heliwa","SO2208","ML1",2022-04-01,2022-05-31,2,2
"Hodan","SO2209","ML1",2022-04-01,2022-05-31,2,2
"Kahda","SO2210","ML1",2022-04-01,2022-05-31,2,2.00406813621521
"Karaan","SO2211","ML1",2022-04-01,2022-05-31,2,2
"Shangaani","SO2212","ML1",2022-04-01,2022-05-31,2,2
"Shibis","SO2213","ML1",2022-04-01,2022-05-31,2,2
"Unspecified","Unspecified","ML1",2022-04-01,2022-05-31,2,2.00001406669617
"Waaberi","SO2214","ML1",2022-04-01,2022-05-31,2,2
"Wadajir (Medina)","SO2215","ML1",2022-04-01,2022-05-31,2,2
"Wardhigley","SO2216","ML1",2022-04-01,2022-05-31,2,2
"Yaaqshid","SO2217","ML1",2022-04-01,2022-05-31,2,2
"Bandarbeyla","SO1602","ML1",2022-04-01,2022-05-31,3,2.99999976158142
"Bossaso","SO1601","ML1",2022-04-01,2022-05-31,2,2.3022186756134
"Caluula","SO1603","ML1",2022-04-01,2022-05-31,2,2
"Iskushuban","SO1604","ML1",2022-04-01,2022-05-31,3,2.57114696502686
"Qandala","SO1605","ML1",2022-04-01,2022-05-31,2,2.09156894683838
"Qardho","SO1606","ML1",2022-04-01,2022-05-31,3,3
"Baydhaba","SO2401","ML1",2022-04-01,2022-05-31,4,4
"Buur Hakaba","SO2402","ML1",2022-04-01,2022-05-31,4,3.76939821243286
"Diinsoor","SO2403","ML1",2022-04-01,2022-05-31,4,3.99975991249084
"Qansax Dheere","SO2404","ML1",2022-04-01,2022-05-31,4,3.99511122703552
"Cabudwaaq","SO1902","ML1",2022-04-01,2022-05-31,4,4
"Cadaado","SO1903","ML1",2022-04-01,2022-05-31,4,4
"Ceel Buur","SO1904","ML1",2022-04-01,2022-05-31,4,3.53410863876343
"Ceel Dheer","SO1905","ML1",2022-04-01,2022-05-31,3,2.99958109855652
"Dhuusamarreeb","SO1901","ML1",2022-04-01,2022-05-31,4,3.99470686912537
"Baardheere","SO2602","ML1",2022-04-01,2022-05-31,3,3.20958399772644
"Belet Xaawo","SO2603","ML1",2022-04-01,2022-05-31,3,3.06855249404907
"Ceel Waaq","SO2604","ML1",2022-04-01,2022-05-31,3,3.05318140983582
"Doolow","SO2605","ML1",2022-04-01,2022-05-31,4,3.53166723251343
"Garbahaarey","SO2601","ML1",2022-04-01,2022-05-31,3,3.34984874725342
"Luuq","SO2606","ML1",2022-04-01,2022-05-31,3,3.49531173706055
"Belet Weyne","SO2001","ML1",2022-04-01,2022-05-31,4,3.50896787643433
"Bulo Burto","SO2002","ML1",2022-04-01,2022-05-31,3,3.1982479095459
"Jalalaqsi","SO2003","ML1",2022-04-01,2022-05-31,3,3.31902933120728
"Afmadow","SO2802","ML1",2022-04-01,2022-05-31,3,2.7253110408783
"Badhaadhe","SO2803","ML1",2022-04-01,2022-05-31,3,3.04584741592407
"Jamaame","SO2804","ML1",2022-04-01,2022-05-31,3,3.39860534667969
"Kismaayo","SO2801","ML1",2022-04-01,2022-05-31,3,2.91900396347046
"Afgooye","SO2302","ML1",2022-04-01,2022-05-31,3,2.95396947860718
"Baraawe","SO2303","ML1",2022-04-01,2022-05-31,2,2.06934475898743
"Kurtunwaarey","SO2304","ML1",2022-04-01,2022-05-31,2,2.23259353637695
"Marka","SO2301","ML1",2022-04-01,2022-05-31,3,2.54427361488342
"Qoryooley","SO2305","ML1",2022-04-01,2022-05-31,2,2.46190881729126
"Sablaale","SO2306","ML1",2022-04-01,2022-05-31,2,2.15982031822205
"Wanla Weyn","SO2307","ML1",2022-04-01,2022-05-31,2,2.48725080490112
"Bu'aale","SO2701","ML1",2022-04-01,2022-05-31,3,3.29776477813721
"Jilib","SO2702","ML1",2022-04-01,2022-05-31,3,3.3234965801239
"Saakow","SO2703","ML1",2022-04-01,2022-05-31,2,2.71619725227356
"Adan Yabaal","SO2102","ML1",2022-04-01,2022-05-31,2,2.04095792770386
"Balcad","SO2103","ML1",2022-04-01,2022-05-31,3,2.56873345375061
"Cadale","SO2104","ML1",2022-04-01,2022-05-31,2,2.00071859359741
"Jowhar","SO2101","ML1",2022-04-01,2022-05-31,3,2.69370579719543
"Gaalkacyo","SO1801","ML1",2022-04-01,2022-05-31,4,4
"Galdogob","SO1802","ML1",2022-04-01,2022-05-31,4,4
"Hobyo","SO1803","ML1",2022-04-01,2022-05-31,4,3.76162028312683
"Jariiban","SO1804","ML1",2022-04-01,2022-05-31,4,3.82399392127991
"Xarardheere","SO1805","ML1",2022-04-01,2022-05-31,3,3
"Burtinle","SO1702","ML1",2022-04-01,2022-05-31,4,4
"Eyl","SO1703","ML1",2022-04-01,2022-05-31,3,3.35255694389343
"Garoowe","SO1701","ML1",2022-04-01,2022-05-31,3,3.18986654281616
"Ceel Afweyn","SO1502","ML1",2022-04-01,2022-05-31,3,2.80610227584839
"Ceerigaabo","SO1501","ML1",2022-04-01,2022-05-31,3,3
"Laasqoray","SO1503","ML1",2022-04-01,2022-05-31,3,2.99893140792847
"Caynabo","SO1402","ML1",2022-04-01,2022-05-31,3,3.06220316886902
"Laas Caanood","SO1401","ML1",2022-04-01,2022-05-31,3,3.302410364151
"Taleex","SO1403","ML1",2022-04-01,2022-05-31,3,3
"Xudun","SO1404","ML1",2022-04-01,2022-05-31,3,3
"Burco","SO1301","ML1",2022-04-01,2022-05-31,4,3.65251445770264
"Buuhoodle","SO1302","ML1",2022-04-01,2022-05-31,4,3.99691915512085
"Owdweyne","SO1303","ML1",2022-04-01,2022-05-31,4,3.6772997379303
"Sheikh","SO1304","ML1",2022-04-01,2022-05-31,2,2.16460156440735
"Berbera","SO1202","ML1",2022-04-01,2022-05-31,2,2.35758757591248
"Gebiley","SO1203","ML1",2022-04-01,2022-05-31,2,2.45261311531067
"Hargeysa","SO1201","ML1",2022-04-01,2022-05-31,3,2.90826916694641
"Baki","SO1102","ML2",2022-06-01,2022-09-30,2,2.31946325302124
"Borama","SO1101","ML2",2022-06-01,2022-09-30,3,2.53741121292114
"Lughaye","SO1103","ML2",2022-06-01,2022-09-30,3,2.98365211486816
"Zeylac","SO1104","ML2",2022-06-01,2022-09-30,3,2.80605244636536
"Ceel Barde","SO2502","ML2",2022-06-01,2022-09-30,3,3.00106883049011
"Rab Dhuure","SO2505","ML2",2022-06-01,2022-09-30,4,3.84573864936829
"Tayeeglow","SO2503","ML2",2022-06-01,2022-09-30,4,3.94589877128601
"Waajid","SO2504","ML2",2022-06-01,2022-09-30,4,4
"Xudur","SO2501","ML2",2022-06-01,2022-09-30,4,3.99511909484863
"Bondhere","SO2201","ML2",2022-06-01,2022-09-30,2,2
"Cabdulasis","SO2202","ML2",2022-06-01,2022-09-30,2,2
"Daynile","SO2203","ML2",2022-06-01,2022-09-30,3,2.98633313179016
"Dharkenley","SO2204","ML2",2022-06-01,2022-09-30,3,2.99999070167542
"Hamar Jabjab","SO2205","ML2",2022-06-01,2022-09-30,2,2
"Hamar Weyne","SO2206","ML2",2022-06-01,2022-09-30,2,2
"Hawl Wadaag","SO2207","ML2",2022-06-01,2022-09-30,2,2.2834951877594
"Heliwa","SO2208","ML2",2022-06-01,2022-09-30,2,2
"Hodan","SO2209","ML2",2022-06-01,2022-09-30,3,2.68110156059265
"Kahda","SO2210","ML2",2022-06-01,2022-09-30,3,3
"Karaan","SO2211","ML2",2022-06-01,2022-09-30,2,2
"Shangaani","SO2212","ML2",2022-06-01,2022-09-30,2,2
"Shibis","SO2213","ML2",2022-06-01,2022-09-30,2,2
"Unspecified","Unspecified","ML2",2022-06-01,2022-09-30,2,2.01408648490906
"Waaberi","SO2214","ML2",2022-06-01,2022-09-30,2,2.00117516517639
"Wadajir (Medina)","SO2215","ML2",2022-06-01,2022-09-30,3,2.68276500701904
"Wardhigley","SO2216","ML2",2022-06-01,2022-09-30,2,2.00066828727722
"Yaaqshid","SO2217","ML2",2022-06-01,2022-09-30,2,2
"Bandarbeyla","SO1602","ML2",2022-06-01,2022-09-30,3,2.99999976158142
"Bossaso","SO1601","ML2",2022-06-01,2022-09-30,3,3.00000023841858
"Caluula","SO1603","ML2",2022-06-01,2022-09-30,3,2.99818515777588
"Iskushuban","SO1604","ML2",2022-06-01,2022-09-30,3,2.57255792617798
"Qandala","SO1605","ML2",2022-06-01,2022-09-30,3,2.99708533287048
"Qardho","SO1606","ML2",2022-06-01,2022-09-30,3,3
"Baydhaba","SO2401","ML2",2022-06-01,2022-09-30,4,4
"Buur Hakaba","SO2402","ML2",2022-06-01,2022-09-30,4,3.76939821243286
"Diinsoor","SO2403","ML2",2022-06-01,2022-09-30,4,3.99975991249084
"Qansax Dheere","SO2404","ML2",2022-06-01,2022-09-30,4,3.9994215965271
"Cabudwaaq","SO1902","ML2",2022-06-01,2022-09-30,4,4
"Cadaado","SO1903","ML2",2022-06-01,2022-09-30,4,4
"Ceel Buur","SO1904","ML2",2022-06-01,2022-09-30,4,3.53410863876343
"Ceel Dheer","SO1905","ML2",2022-06-01,2022-09-30,3,2.99988055229187
"Dhuusamarreeb","SO1901","ML2",2022-06-01,2022-09-30,4,3.99470686912537
"Baardheere","SO2602","ML2",2022-06-01,2022-09-30,3,3.20955967903137
"Belet Xaawo","SO2603","ML2",2022-06-01,2022-09-30,3,3.06855249404907
"Ceel Waaq","SO2604","ML2",2022-06-01,2022-09-30,3,3.05318140983582
"Doolow","SO2605","ML2",2022-06-01,2022-09-30,4,3.53313159942627
"Garbahaarey","SO2601","ML2",2022-06-01,2022-09-30,3,3.35055065155029
"Luuq","SO2606","ML2",2022-06-01,2022-09-30,4,3.62244582176208
"Belet Weyne","SO2001","ML2",2022-06-01,2022-09-30,4,3.50900745391846
"Bulo Burto","SO2002","ML2",2022-06-01,2022-09-30,3,3.27385473251343
"Jalalaqsi","SO2003","ML2",2022-06-01,2022-09-30,3,3.3256721496582
"Afmadow","SO2802","ML2",2022-06-01,2022-09-30,3,2.66626191139221
"Badhaadhe","SO2803","ML2",2022-06-01,2022-09-30,3,3.04584741592407
"Jamaame","SO2804","ML2",2022-06-01,2022-09-30,3,3.40174388885498
"Kismaayo","SO2801","ML2",2022-06-01,2022-09-30,3,2.96535992622375
"Afgooye","SO2302","ML2",2022-06-01,2022-09-30,3,2.99969553947449
"Baraawe","SO2303","ML2",2022-06-01,2022-09-30,2,2.07270383834839
"Kurtunwaarey","SO2304","ML2",2022-06-01,2022-09-30,2,2.23280191421509
"Marka","SO2301","ML2",2022-06-01,2022-09-30,3,2.99843788146973
"Qoryooley","SO2305","ML2",2022-06-01,2022-09-30,2,2.46190881729126
"Sablaale","SO2306","ML2",2022-06-01,2022-09-30,2,2.19501447677612
"Wanla Weyn","SO2307","ML2",2022-06-01,2022-09-30,2,2.48725080490112
"Bu'aale","SO2701","ML2",2022-06-01,2022-09-30,3,3.20234680175781
"Jilib","SO2702","ML2",2022-06-01,2022-09-30,3,3.32420253753662
"Saakow","SO2703","ML2",2022-06-01,2022-09-30,2,2.5786874294281
"Adan Yabaal","SO2102","ML2",2022-06-01,2022-09-30,3,2.75762033462524
"Balcad","SO2103","ML2",2022-06-01,2022-09-30,3,2.87534475326538
"Cadale","SO2104","ML2",2022-06-01,2022-09-30,2,2.3083655834198
"Jowhar","SO2101","ML2",2022-06-01,2022-09-30,3,2.69406676292419
"Gaalkacyo","SO1801","ML2",2022-06-01,2022-09-30,4,4
"Galdogob","SO1802","ML2",2022-06-01,2022-09-30,4,4
"Hobyo","SO1803","ML2",2022-06-01,2022-09-30,4,3.89289236068726
"Jariiban","SO1804","ML2",2022-06-01,2022-09-30,4,3.82410407066345
"Xarardheere","SO1805","ML2",2022-06-01,2022-09-30,3,3.00356292724609
"Burtinle","SO1702","ML2",2022-06-01,2022-09-30,4,4
"Eyl","SO1703","ML2",2022-06-01,2022-09-30,3,3.35255694389343
"Garoowe","SO1701","ML2",2022-06-01,2022-09-30,3,3.18986654281616
"Ceel Afweyn","SO1502","ML2",2022-06-01,2022-09-30,3,3.17241907119751
"Ceerigaabo","SO1501","ML2",2022-06-01,2022-09-30,3,3.00039410591125
"Laasqoray","SO1503","ML2",2022-06-01,2022-09-30,3,3
"Caynabo","SO1402","ML2",2022-06-01,2022-09-30,4,3.94660449028015
"Laas Caanood","SO1401","ML2",2022-06-01,2022-09-30,3,3.302410364151
"Taleex","SO1403","ML2",2022-06-01,2022-09-30,3,3
"Xudun","SO1404","ML2",2022-06-01,2022-09-30,3,3.00116872787476
"Burco","SO1301","ML2",2022-06-01,2022-09-30,4,3.65338897705078
"Buuhoodle","SO1302","ML2",2022-06-01,2022-09-30,4,3.99831390380859
